customerID,SeniorCitizen,tenure,Contract,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
7590-VHVEG,0.0,-1.2848494888735218,1,-1.1655628406653848,-0.9968380666724209,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
3668-QPYBK,0.0,-1.2440558060714018,1,-0.36727004418501275,-0.962292304299217,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True
7795-CFOCW,0.0,0.510072554419768,2,-0.751448452491192,-0.19787355732842452,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False
9237-HQITU,0.0,-1.2440558060714018,1,0.19319802334391523,-0.9431002140918815,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
9305-CDSKC,0.0,-0.9992937092586803,1,1.1561387090983641,-0.6480052822487472,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False
1452-KIOVK,0.0,-0.42818215002899723,1,0.8052225006455336,-0.1499374515576888,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False
6713-OKOMC,0.0,-0.9177063436544399,1,-1.1688890606507196,-0.8768102933182687,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7892-POOKP,0.0,-0.18342005321627589,1,1.3274390383431103,0.33390176053137943,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False
9763-GRSKD,0.0,-0.7953252952480793,1,-0.4969926236130731,-0.750826354037702,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
7469-LKBCI,0.0,-0.6729442468417185,3,-1.5281208190668871,-0.8658244761651043,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False
8091-TTVAX,0.0,1.0403904308473308,2,1.179422248995708,1.4964791697460782,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False
0280-XJGEX,0.0,0.6732472856282488,1,1.2908506185044268,1.211995037201482,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False
5129-JLPIS,0.0,-0.3058011016226366,1,1.3507225782404546,0.1750706691603271,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,True,False
3655-SNQYZ,0.0,1.4891209416706532,3,1.608504627103908,2.4733124415518515,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
8191-XWSZG,0.0,0.7956283340346094,2,-1.4715750793161941,-0.5586848532263318,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True
9959-WOFKT,0.0,1.5707083072748937,3,1.3906372180644733,2.247022256095705,True,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False
4190-MFLUW,0.0,-0.9177063436544399,1,-0.32236607438299175,-0.7769011248711165,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
4183-MYFRB,0.0,-0.46897583283111743,1,0.8368215905062151,-0.18810103323434446,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False
8779-QRDMV,1.0,-1.2848494888735218,1,-0.8395932821025663,-0.99251433140732,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False
1680-VDCWW,0.0,-0.8361189780501994,2,-1.4998479491915409,-0.920775621804728,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
1066-JKSGK,0.0,-1.2848494888735218,1,-1.4882061792428687,-1.0011176821899186,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True
3638-WEABW,0.0,1.0403904308473308,3,-0.16603373507225236,0.5364334619032726,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False
6322-HRPFA,0.0,0.6732472856282488,1,-0.1760123950282569,0.30048105172205386,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False
6865-JZNKO,0.0,-0.10183268761203544,1,-0.31903985439765703,-0.33471095451934646,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
6467-CHFZW,0.0,0.5916599200240084,1,1.1461600491423591,1.085305181959266,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,True,False
8665-UTDHZ,0.0,-1.2848494888735218,1,-1.1539210707167127,-0.9966836475558103,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
5248-YGIJN,0.0,1.611501990077014,3,0.8434740304768849,1.800177452371811,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False
8773-HHUOZ,0.0,-0.6321505640395984,1,-0.006375175776177795,-0.5277348502827781,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True
3841-NFECX,1.0,1.5707083072748937,3,1.0463734495823125,1.9755534490940145,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,True,False,False
4929-XIHVW,1.0,-1.2440558060714018,1,1.0181005797069662,-0.9298642898109605,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False,False
